Name (English);Name (Chinese);Region of Focus;Language;Entity owner (English);Entity owner (Chinese);Parent entity (English);Parent entity (Chinese);X (Twitter) handle;X (Twitter) URL;X (Twitter) Follower #;Facebook page;Facebook URL;Facebook Follower #;Instragram page;Instagram URL;Instagram Follower #;Threads account;Threads URL;Threads Follower #;YouTube account;YouTube URL;YouTube Subscriber #;TikTok account;TikTok URL;TikTok Subscriber #;date_hour;tweet_text;twits_clean;sentiment;Persons;GPE;NORP;proxy_is_foreing_interf_canada;hour;day_of_week_name;day_of_week_num
Zheng Chenlei (Blair Zheng);;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;BlairZheng1;https://twitter.com/BlairZheng1;7.0;;;;;;;;;;;;;;;;Tue Apr 21 02:31:21 PDT 2009;Hey London, I was here, but you weren't.    I'll try back later.;hey london , , n't . 'll try back later .;0;;london;;Yes;02;Tuesday;2
Chinese Embassy in Pakistan;中国驻巴基斯坦使馆;Pakistan;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;CathayPak;https://twitter.com/CathayPak;161000.0;profile.php?id=100071253341591;https://www.facebook.com/profile.php?id=100071253341591;6800.0;;;;;;;;;;;;;Sun Apr 19 06:24:09 PDT 2009;gah seriously! im sick..leave for chicago tmrrw mornin too..im going to make some soup. my bones hurt ;gah seriously ! im sick .. leave chicago tmrrw mornin .. im going make soup . bones hurt;0;tmrrw mornin;chicago;;Yes;06;Sunday;0
CCTV+;;China;Chinese;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CCTV_Plus;https://twitter.com/CCTV_Plus;35300.0;NewsContent.CCTVPLUS/;https://www.facebook.com/NewsContent.CCTVPLUS/;918000.0;cctv_video_news_agency;https://www.instagram.com/cctv_video_news_agency/;2190.0;;;;CCTVVideoNewsAgency;https://www.youtube.com/@CCTVVideoNewsAgency;518000.0;cctv_plus;https://www.tiktok.com/@cctv_plus;104.0;Sat May 02 11:07:37 PDT 2009;#Pink was great  Transport for London were rubbish ;# pink great transport london rubbish;1;;london;;No;11;Saturday;6
CCTV News;央视新闻;China;Chinese;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;cctvxinwen;https://twitter.com/cctvxinwen;1340.0;cctvxinwen;https://www.facebook.com/cctvxinwen/;2400.0;;;;;;;;;;MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod;https://www.tiktok.com/@MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod;663.0;Tue Apr 21 03:11:16 PDT 2009;new blur shows announced! none in london ;new blur shows announced ! none london;0;;london;;Yes;03;Tuesday;2
Zhang Meifang;;UK;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;CGMeifangZhang;https://twitter.com/CGMeifangZhang;160000.0;;;;;;;;;;;;;cgmeifangzhang;https://www.tiktok.com/@cgmeifangzhang;1071.0;Sun Apr 19 11:05:06 PDT 2009;@ladygaga I wish you could get down to Manchester, or I could come up to London to try and find you  I'm GaGa over GaGa! Can't wait forPOG;@ ladygaga wish could get manchester , could come london try find 'm gaga gaga ! ca n't wait forpog;1;;london;;No;11;Sunday;0
CGTN Dialogue;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CGTN_Dialogue;https://twitter.com/CGTN_Dialogue;1011.0;;;;;;;;;;;;;;;;Sun Apr 19 09:48:49 PDT 2009;doesnt want to go bac to toronto today ;doesnt want go bac toronto today;0;;toronto;;Yes;09;Sunday;0
CGTN Inheritors;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;cgtn_inheritors;https://twitter.com/cgtn_inheritors;0.0;cgtn.inheritors;https://www.facebook.com/cgtn.inheritors/;204000.0;cgtn_inheritors;https://www.instagram.com/cgtn_inheritors/;586.0;;;;;;;;;;Sun May 03 00:10:15 PDT 2009;chicago lost  lol atleast vancouver lost too !!!!!!!!!!!!!! yesss !!!!;chicago lost lol atleast vancouver lost ! ! ! ! ! ! ! ! ! ! ! ! ! ! yesss ! ! ! !;1;;chicago;;No;00;Sunday;0
CGTN Style;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CGTN_Style;https://twitter.com/CGTN_Style;56.0;CGTN-Style-117178546331993;https://www.facebook.com/CGTN-Style-117178546331993/;1165.0;;;;;;;;;;;;;Sat May 02 04:49:26 PDT 2009;@emilyos O my gosh. i hope it does 2! I bet it wont tho...  @taylorswift13 Please stay a while after your London show on THURSDAY. Please?;@ emilyos gosh . hope 2 ! bet wont tho ... @ taylorswift13 please stay london show thursday . please ?;1;;london;taylorswift13;No;04;Saturday;6
CGTN Europe;中国环球电视网欧洲分台;EU;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CGTNEurope;https://twitter.com/CGTNEurope;18200.0;cgtneuropeofficial;https://www.facebook.com/cgtneuropeofficial;2100000.0;cgtneurope;https://www.instagram.com/cgtneurope/;30000.0;;;;CGTNEurope;https://www.youtube.com/c/CGTNEurope;110000.0;cgtneurope;https://www.tiktok.com/@cgtneurope;225800.0;Tue Apr 07 05:34:11 PDT 2009;@dylansongs No unfortunately, it seems to be only available in the US. Not Canada either. ;@ dylansongs unfortunately , seems available us . canada either .;0;;canada;;Yes;05;Tuesday;2
CGTN Food;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CGTNFood;https://twitter.com/CGTNFood;98.0;CGTN-Food-100820617981722;https://www.facebook.com/CGTN-Food-100820617981722/;520.0;;;;;;;;;;;;;Sat May 02 13:17:02 PDT 2009;Leaving the sunshine of Chicago for the rain in Portland ;leaving sunshine chicago rain portland;1;;chicago;;No;13;Saturday;6
CGTN Global Business;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CGTNGlobalBiz;https://twitter.com/CGTNGlobalBiz;12500.0;CGTNGlobalBusiness;https://www.facebook.com/CGTNGlobalBusiness/;1600000.0;;;;;;;BizAsiaAmerica;https://www.youtube.com/c/BizAsiaAmerica;7980.0;;;;Sun Apr 19 08:34:39 PDT 2009;@gnimsh i'm sorry. just think you won't have any school work in 3 wks!  it's such a gloomy day in chicago.   won't be sunny/warm till wed;@ gnimsh 'm sorry . think wo n't school work 3 wks ! 's gloomy day chicago . wo n't sunny/warm till wed;0;;chicago;;Yes;08;Sunday;0
CGTN Global Business;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CGTNGlobalBiz;https://twitter.com/CGTNGlobalBiz;12500.0;CGTNGlobalBusiness;https://www.facebook.com/CGTNGlobalBusiness/;1600000.0;;;;;;;BizAsiaAmerica;https://www.youtube.com/c/BizAsiaAmerica;7980.0;;;;Sat May 02 22:42:08 PDT 2009;@Teanah Why is the blog contest on 1up open only to the US? Where is the love for Canada? ;@ teanah blog contest 1up open us ? love canada ?;1;;canada;;No;22;Saturday;6
CGTN;CGTN;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CGTNOfficial;https://twitter.com/CGTNOfficial;13000000.0;ChinaGlobalTVNetwork;https://www.facebook.com/ChinaGlobalTVNetwork;116450496.0;cgtn;https://www.instagram.com/cgtn/;2300000.0;cgtn;https://www.threads.net/@cgtn;69100.0;CGTN;https://www.youtube.com/@cgtn;3050000.0;;;;Sat May 02 04:43:36 PDT 2009;@RedMummy I can't decide whether to go to London next week or not - flu fears ;@ redmummy ca n't decide whether go london next week - flu fears;0;;london;;Yes;04;Saturday;6
CGTN Sports;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CGTNSports;https://twitter.com/CGTNSports;1046.0;;;;;;;;;;;;;;;;Mon Apr 20 05:24:22 PDT 2009;Ran a final 10K on Sunday in 51.49 - was OK and should be ready for the London Marathon next week. It's going to be hot though ;ran final 10k sunday 51.49 - ok ready london marathon next week . 's going hot though;1;;london;;No;05;Monday;1
CGTN Sports Scene;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CGTNSportsScene;https://twitter.com/CGTNSportsScene;7582.0;CGTNSportsScene;https://www.facebook.com/CGTNSportsScene/;670000.0;cgtn_sports_scene;https://www.instagram.com/cgtn_sports_scene/;2617.0;;;;cgtnsportsscene;https://www.youtube.com/@cgtnsportsscene;158000.0;;;;Sun May 03 02:34:39 PDT 2009;Can anyone tell me where this place in London is? http://tinyurl.com/dzz88m I have been there with school in 2001 and can't remember ;anyone tell place london ? http : //tinyurl.com/dzz88m school 2001 ca n't remember;0;;london;;Yes;02;Sunday;0
Chen Huixin;;Finland;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;chenhuixin;https://twitter.com/chenhuixin;736.0;;;;;;;;;;;;;;;;Sun May 03 21:31:35 PDT 2009;@bobbyhundreds I went to Mr. Chow in London...Didn't see Joe Pesci or any supermodels ;@ bobbyhundreds went mr. chow london ... n't see joe pesci supermodels;0;chow,joe pesci;london;;Yes;21;Sunday;0
Chen Juan;;Anglosphere;English;Shanghai Media Group (SMG);上海文化广播影视集团有限公司;Shanghai Municipal Committee;中共上海市委;Chenjuan;https://twitter.com/Chenjuan;592.0;;;;;;;;;;;;;;;;Sat May 02 10:21:02 PDT 2009;@mikegentile i wish i was going  but i'm seeing you in chicago a week from today! ;@ mikegentile wish going 'm seeing chicago week today !;1;;chicago;;No;10;Saturday;6
Chen Weihua;陈卫华;Anglosphere;English;China Daily Press;中国日报社;Central Publicity Department;中共中央宣传部;chenweihua;https://twitter.com/chenweihua;195700.0;;;;;;;;;;;;;;;;Mon Apr 20 03:58:13 PDT 2009;@jeffgerstmann Buses in london are renowned places to puke on, its an englishmans duty to defoul anything public. We're animals ;@ jeffgerstmann buses london renowned places puke , englishmans duty defoul anything public . 're animals;0;;london;;Yes;03;Monday;1
Chen Weihua;陈卫华;Anglosphere;English;China Daily Press;中国日报社;Central Publicity Department;中共中央宣传部;chenweihua;https://twitter.com/chenweihua;195700.0;;;;;;;;;;;;;;;;Sat May 02 00:41:32 PDT 2009;@THEREALBANNER good luck in your career,when r u coming to chicago again,u cancelled the show last july 08' @ house of blues? ;@ therealbanner good luck career , r u coming chicago , u cancelled show last july 08 ' @ house blues ?;1;;chicago;;No;00;Saturday;6
Chinese Embassy in Colombia;;Colombia;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;china_embajada;https://twitter.com/china_embajada;8929.0;;;;;;;;;;;;;;;;Sun May 03 01:33:10 PDT 2009;Went to London yesterday to see WICKED the Musical for the second time. AMAZING. Kerry Ellis is amazing at Elphaba!! she's leaving ;went london yesterday see wicked musical second time . amazing . kerry ellis amazing elphaba ! ! 's leaving;1;kerry ellis;london;;No;01;Sunday;0
Chinese Consulate General in Lyon;;France;French;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;China_Lyon;https://twitter.com/China_Lyon;2853.0;;;;;;;;;;;;;;;;Sun May 03 08:59:59 PDT 2009;Headache   in Chicago, IL http://loopt.us/iEvSAQ.t;headache chicago , il http : //loopt.us/ievsaq.t;0;;chicago;;Yes;08;Sunday;0
Tan Jian;;Netherlands;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaAmbNL;https://twitter.com/ChinaAmbNL;2907.0;;;;;;;;;;;;;;;;Sun Apr 19 02:47:57 PDT 2009;Back in London ;back london;0;;london;;Yes;02;Sunday;0
Tan Jian;;Netherlands;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaAmbNL;https://twitter.com/ChinaAmbNL;2907.0;;;;;;;;;;;;;;;;Sun May 03 02:56:40 PDT 2009;wants a holiday, im bored of London ;wants holiday , im bored london;1;;london;;No;02;Sunday;0
Chen Xiaodong;;South Africa;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaAmbSA;https://twitter.com/ChinaAmbSA;52900.0;;;;;;;;;;;;;;;;Sat May 02 22:41:54 PDT 2009;@bbyash You're a lucky duck. I wanna think of canada when I hear a song. 1st I need to go to canada ;@ bbyash 're lucky duck . wan na think canada hear song . 1st need go canada;1;;canada;;No;22;Saturday;6
Chinese Consulate General in Christchurch;中国驻克赖斯特彻奇总领馆;New Zealand;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaCG_CC;https://twitter.com/ChinaCG_CC;2630.0;;;;;;;;;;;;;;;;Mon Apr 20 05:48:07 PDT 2009;@ccollinsmith You didn't do the trip to Chicago for #symp09 ?    Robbed!  Make up for it with a trip to Sydney instead  ;@ ccollinsmith n't trip chicago # symp09 ? robbed ! make trip sydney instead;0;;chicago;;Yes;05;Monday;1
Chinese Consulate General in New York;;USA;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaCG_NYC;https://twitter.com/ChinaCG_NYC;3067.0;;;;chinacg_nyc;https://www.instagram.com/chinacg_nyc/;71900.0;;;;;;;;;;Sun May 03 20:14:56 PDT 2009;@SamSedaei Thanks Sam. I sometimes don't even recognize Toronto anymore ;@ samsedaei thanks sam . sometimes n't even recognize toronto anymore;1;sam;toronto;;No;20;Sunday;0
Chinese Consulate General in Edinburgh;中国驻爱丁堡总领馆;UK;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;chinacgedi;https://twitter.com/chinacgedi;3329.0;;;;;;;;;;;;;;;;Sun May 03 08:30:51 PDT 2009;Crap! Vacation is over.   On my way back to kinda sunny Chicago. Cubs play today. We need a win after last nights depressing Bulls game.;crap ! vacation . way back kinda sunny chicago . cubs play today . need win last nights depressing bulls game .;1;;chicago;;No;08;Sunday;0
Chinese Consulate General in Almaty;中国驻阿拉木图总领馆;Kazakhstan;Russian;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaConsAlmaty;https://twitter.com/ChinaConsAlmaty;4228.0;;;;chinaconsalmaty;https://www.instagram.com/chinaconsalmaty/;2670.0;;;;;;;;;;Sun Apr 19 07:42:51 PDT 2009;back to london ;back london;0;;london;;Yes;07;Sunday;0
Chinese Consulate General in Chicago;中国驻芝加哥总领馆;USA;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaConsulate;https://twitter.com/ChinaConsulate;5755.0;;;;;;;;;;;;;;;;Sun May 03 08:39:58 PDT 2009;"3 days 'till my birthday!!  I really want to go see Taylor Swift in London!! Chances look slim tho!  (&quot;,) &lt;3";"3 days 'till birthday ! ! really want go see taylor swift london ! ! chances look slim tho ! ( & quot ; , ) & lt ; 3";1;taylor;london;;No;08;Sunday;0
China Culture;;Anglosphere;English;China Daily Press;中国日报社;Ministry of Culture and Tourism;中华人民共和国文化和旅游部;Chinacultureorg;https://twitter.com/Chinacultureorg;24600.0;chinacultureorg;https://www.facebook.com/chinacultureorg/;4000000.0;;;;;;;;;;;;;Sat Apr 18 15:59:28 PDT 2009;@MickyCook yeah that would be fun. Same time as the movie release too... I missed Prophecy in 07. It was in Toronto ;@ mickycook yeah would fun . time movie release ... missed prophecy 07. toronto;1;;toronto;;No;15;Saturday;6
China Culture;;Anglosphere;English;China Daily Press;中国日报社;Ministry of Culture and Tourism;中华人民共和国文化和旅游部;Chinacultureorg;https://twitter.com/Chinacultureorg;24600.0;chinacultureorg;https://www.facebook.com/chinacultureorg/;4000000.0;;;;;;;;;;;;;Sun May 03 10:22:01 PDT 2009;wish gaga wud hav a concert in LONDON!!!!!   x;wish gaga wud hav concert london ! ! ! ! ! x;1;;london;;No;10;Sunday;0
China Daily Asia;;Anglosphere;English;China Daily Press;中国日报社;Central Publicity Department;中共中央宣传部;ChinaDailyAsia;https://twitter.com/ChinaDailyAsia;26900.0;;;;;;;;;;;;;;;;Sat May 02 08:40:37 PDT 2009;@wethetravis http://twitpic.com/4eniz - I fail 'cause I'm miles away in London. ;@ wethetravis http : //twitpic.com/4eniz - fail 'cause 'm miles away london .;0;;london;;Yes;08;Saturday;6
China Daily World;;Anglosphere;English;China Daily Press;中国日报社;Central Publicity Department;中共中央宣传部;ChinaDailyWorld;https://twitter.com/ChinaDailyWorld;1387.0;;;;;;;;;;;;;;;;Mon Apr 06 23:54:57 PDT 2009;I need to find a battery for an Elinchrom Ranger.  Nobody in Canada has any in stock ;need find battery elinchrom ranger . nobody canada stock;0;;canada;;Yes;23;Monday;1
Chinese Embassy in Greece;;Greece;Greek;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;Chinaemb_Hellas;https://twitter.com/Chinaemb_Hellas;3940.0;;;;chinaemb_hellas;https://www.instagram.com/chinaemb_hellas/;1387.0;;;;;;;;;;Sat May 02 05:57:12 PDT 2009;@Monica_777 Ooh ok.  Heard it was amazing but unfortunately it's not available in Canada.  Thanks though.;@ monica_777 ooh ok. heard amazing unfortunately 's available canada . thanks though .;1;;canada;;No;05;Saturday;6
Chinese Embassy in South Sudan;中国驻南苏丹使馆;South Sudan;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmb_Juba;https://twitter.com/ChinaEmb_Juba;1276.0;;;;;;;;;;;;;;;;Sat May 02 01:44:37 PDT 2009;@rustyrockets i used to work at American Girl in Chicago. I was in the musical for two and a half years before they closed the review ;@ rustyrockets used work american girl chicago . musical two half years closed review;0;;chicago;american;Yes;01;Saturday;6
Zhao Zhiyuan;赵志远;Ethiopia;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmbAddis;https://twitter.com/ChinaEmbAddis;17200.0;;;;;;;;;;;;;;;;Sat Apr 18 07:39:21 PDT 2009;@mandyism NO YOU DON'T. Canada sucks.  ;@ mandyism n't . canada sucks .;1;;canada;;No;07;Saturday;6
Chinese Embassy in Dominican Republic;;Dominican Republic;Spanish;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmbajadaRD;https://twitter.com/ChinaEmbajadaRD;8233.0;;;;chinaembajada;https://www.instagram.com/chinaembajada/;6713.0;;;;;;;;;;Sat May 02 05:56:56 PDT 2009;@Monica_777 Ooh ok.  Heard it was amazing but unfortunately it's not available in Canada. ;@ monica_777 ooh ok. heard amazing unfortunately 's available canada .;1;;canada;;No;05;Saturday;6
Chinese Embassy in Algeria;中国驻阿尔及利亚大使馆;Algeria;Arabic;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmbAlgeria;https://twitter.com/ChinaEmbAlgeria;15600.0;profile.php?id=100064477878508;https://www.facebook.com/profile.php?id=100064477878508;32000.0;;;;;;;;;;;;;Tue Apr 21 00:15:19 PDT 2009;@nicolerichie have fun in Toronto!! It was crazy cold today ;@ nicolerichie fun toronto ! ! crazy cold today;1;;toronto;;No;00;Tuesday;2
